disc_code,disc_bc,disc_name
1,200000000001,Скидка 5%
3,200000000003,Скидка 10 %
4,200000000002,Скидка 6%
5,200000000004,Скидка 50%
6,200000000005,Скидка 3%
7,200000000006,Скидка 15%
8,200000000007,Скидка 16%
9,,Пенсионный дисконт
10,,Дисконт
11,,VIP
12,200000000008,Скидка 7%
13,200000000009,Скидка 12%
14,200000000010,Скидка 11%
15,200000000011,Скидка 8%
16,200000000012,Скидка 20%
17,200000000013,Скидка 30%
18,200000000014,Скидка 40%
19,200000000015,Скидка 17%
20,200000000016,Скидка 25%
21,200000000017,Скидка 8% Акция
22,200000000018,Скидка 100%
23,200000000019,Скидка на открытие
24,200000000020,Скидка А6
25,200000000021,Скидка по купону
27,,Сотрудники АЦ
28,,VIP2
30,200000000024,Акции
31,200000000025,День России
34,200000000027,Скидка А5 с 1 по 31 мая
35,200000000022,Аптека №3
36,200000000023,Аптека №8
37,200000000026,Стол заказов
38,200000000028,Скидка А4
925,200000000492,Рарус
926,200000000029,"Скидка А4 ЖВ 5 и 3%, БАД 10%, ост.7%"
927,200000000030,Порядок
928,200000000031,Аптека №1
929,200000000032,500 р. Розыгрыш А1
930,200000000033,1000 р. Розыгрыш А1
931,200000000034,2000 р. Розыгрыш А1
932,200000000035,3000 р. Розыгрыш А1
933,200000000036,Скидка А9 на открытие
934,200000000037,Автоскидка Аптека 5 8.11-8.12
935,200000000038,Автоскидка АП3 от 500р 5%ЖВЛС и 10%
936,200000000039,Автоскидка АП3 20
937,200000000040,Автоскидка АП3 25%
938,200000000041,Автоскидка 6-9 марта 2020 все аптеки 25% косметика
939,200000000042,Скидок по срокам годности
940,200000000043,Верный
941,200000000044,Профком
942,200000000045,Товар дня
943,200000000046,Скидка А2-А9
944,200000000050,Скидка 15% - НГ
945,200000000047,Скидка на открытие Аптека №10
946,200000000048,Акция А5 Февраль 2021
947,200000000049,День стоматолога 25%
948,200000000051,Всемирный День здоровья
949,200000000052,Акция Стоп-Цена
1000000,NULL,Без скидки
